		General characteristics			Acccessibilty and Availability					User Support and Documentation			Methods Used to Generate Input Data								Supported Analyses																														
Platform	Publication DOI(s)	Free Usage	Open Source	Workflow/ Pipeline Manager	Simple End-User Modification	User-Friendly Interface	Publicly Available Web server	Automatable API	Last Update	Tutorials	Documentation	User Support	Isolate Genomics	Isolate Transcriptomics	Isolate Proteomics	Isolate Metabolomics	Amplicon/Metabarcoding	WGS/Metagenomics	Metatranscriptomics	Metaproteomics	Quality Control (QC)	Phylogenomics	Taxonomy Profiling/Diversity Analysis	Functional Prediction/Annotation	Strain Profiling	Assembly 	Binning	MAGs	Comparative Omics	Multi-Omics Integration	(Meta)Pangenomics	(cg)MLST	Interactive Visualizations	Microbial Population Genetics	Other																
ABRomics	10.7490/f1000research.1119762.1	yes	no	Galaxy	no	yes	no	yes	2024	yes	yes	yes	yes	no	no	no	no	in development	no	no	yes	no	yes	yes	yes	yes	in development	in development	in development	no	in development	yes	yes	no																	
AmphoraNet	10.1016/j.gene.2013.10.015	yes	yes	AMPHORA2 suite	no	yes	yes	no		yes	yes	yes	yes	no	no	no	yes	yes	no	no	yes	yes	yes	yes	no	no	no	no	no	no	no	no	yes	no																	
ANVI'O	10.1038/s41564-020-00834-3	yes	yes	Snakemake	yes	no	no	no	27/09/2023	yes	yes	yes	yes	yes	no	no	yes	yes	yes	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	yes																	
ASaiM	10.1093/gigascience/giy057	yes	yes	Galaxy	yes	yes	yes	yes	10/06/2023	yes	yes	yes	no	no	no	no	yes	yes	yes	no	yes	yes	yes	yes	no	yes	no	no	no	no	no	no	yes	no																	
ATLAS	10.1186/s12859-020-03585-4	yes	yes	Snakemake	no	no	no	no	29/07/2024	yes	yes	yes	no	no	no	no	no	yes	no	no	yes	no	yes	yes	no	yes	yes	yes	no	no	no	no	yes	no																	
bioBakery	10.7554/eLife.65088	yes	yes	AnADAMA2	no	no	no	no	20/06/2024	yes	yes	yes	no	no	no	no	yes	yes	yes	no	yes	yes	yes	yes	yes	no	no	no	yes	yes	no	no	yes	no																	
BusyBee	10.1093/nar/gkx348	yes	no		no	yes	yes	yes	2022	yes	yes	no	no	no	no	no	no	yes	no	no	no	no	yes	yes	no	no	yes	yes	no	no	no	no	yes	no																	
BV-BRC	10.1093/nar/gkac1003	yes	yes		no	yes	yes	yes	14/11/2024	yes	yes	yes	yes	yes	yes	no	no	yes	no	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	no	yes	no	yes	no																	
CLC Genomics Workbench		no	no		no	yes	no	no	03/12/2024	yes	yes	yes	yes	yes	no	no	yes	yes	no	no	yes	yes	yes	yes	yes	yes	no	no	yes	yes	yes	yes	yes	no																	
