Number in Figure 4	Input step	Output step	Tool suites	Corresponding RRID or biotools ID		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	falco	biotools:falco		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	FastQC	RRID:SCR_014583		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	Cutadapt	RRID:SCR_011841		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	fastp	RRID:SCR_016962		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	MultiQC	RRID:SCR_014982		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	Porechop	RRID:SCR_016967		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	Filtlong	RRID:SCR_024020		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	Nanoplot	RRID:SCR_024128		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	Pycoqc	RRID:SCR_024185		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	FastQE	bio.tools:fastqe		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	lighter	RRID:SCR_024095		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	Rasusa	biotools:rasusa		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	BBtools	biotools:bbtools		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	SeqKit	RRID:SCR_018926		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	NCBI FCS GX	RRID:SCR_026367		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	Bowtie	RRID:SCR_005476		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	BWA	RRID:SCR_010910		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	minimap	RRID:SCR_018550		
1	(Meta)genomics / (meta)transcriptomics: Raw data	(Meta)genomics / (meta)transcriptomics: Clean reads	SortMeRNA	RRID:SCR_014402		
2	(Meta)genomics: Clean reads	(Meta)genomics: Identified typed strains /  Taxonomic tables	MetaPhlAn	RRID:SCR_004915		
2	(Meta)genomics: Clean reads	(Meta)genomics: Identified typed strains /  Taxonomic tables	Kraken(2)	RRID:SCR_008140		
2	(Meta)genomics: Clean reads	(Meta)genomics: Identified typed strains /  Taxonomic tables	Bracken	bio.tools:bracken		
2	(Meta)genomics: Clean reads	(Meta)genomics: Identified typed strains /  Taxonomic tables	Diamond	RRID:SCR_016071		
2	(Meta)genomics: Clean reads	(Meta)genomics: Identified typed strains /  Taxonomic tables	Sylph	bio.tools:sylph		
2	(Meta)genomics: Clean reads	(Meta)genomics: Identified typed strains /  Taxonomic tables	mOTUs	bio.tools:motus		
2	(Meta)genomics: Clean reads	(Meta)genomics: Identified typed strains /  Taxonomic tables	(Re)Centrifuge	biotools:Recentrifuge		
2	(Meta)genomics: Clean reads	(Meta)genomics: Identified typed strains /  Taxonomic tables	GTDB-Tk	RRID:SCR_019136		
2	(Meta)genomics: Clean reads	(Meta)genomics: Identified typed strains /  Taxonomic tables	VirAnnot	biotools:virannot		
2	(Meta)genomics: Clean reads	(Meta)genomics: Identified typed strains /  Taxonomic tables	Metabuli			
2	(Meta)genomics: Clean reads	(Meta)genomics: Identified typed strains /  Taxonomic tables	MEGAN			
3	Genomics: Clean reads	Genomics Assemblies	Shovill	RRID:SCR_017077		
3	Genomics: Clean reads	Genomics Assemblies	Unicycler	RRID:SCR_024380		
3	Genomics: Clean reads	Genomics Assemblies	SPades	RRID:SCR_000131		
3	Genomics: Clean reads	Genomics Assemblies	Flye	RRID:SCR_017016		
3	Genomics: Clean reads	Genomics Assemblies	SKESA	RRID:SCR_024341		
3	Genomics: Clean reads	Genomics Assemblies	ABySS	RRID:SCR_010709		
3	Genomics: Clean reads	Genomics Assemblies	Velvet	RRID:SCR_010755		
3	Genomics: Clean reads	Genomics Assemblies	Unicycler	RRID:SCR_024380		
3	Genomics: Clean reads	Genomics Assemblies	Racon	RRID:SCR_017642		
